model_label,question_id,n_options,wd_rep,wd_dem,wd_overall,closer_to,partisan_gap
Claude Sonnet 4.5,atp_W45_NEWSPROBc,4,0.2887,0.2798,0.2845,Dem,0.025
Claude Sonnet 4.5,atp_W45_NEWSPROBd,4,0.2176,0.2222,0.2207,Rep,0.0163
Claude Sonnet 4.5,atp_W45_NEWSPROBe,4,0.1777,0.4537,0.3364,Rep,0.276
Claude Sonnet 4.5,atp_W45_NEWS_PLATFORMg,4,0.3284,0.3187,0.323,Dem,0.0334
Claude Sonnet 4.5,atp_W45_NEWS_PLATFORMh,4,0.246,0.2501,0.249,Rep,0.0497
Claude Sonnet 4.5,atp_W45_ONLINESOURCE,3,0.2429,0.2015,0.2257,Dem,0.0413
Claude Sonnet 4.5,atp_W45_RESTRICTWHO,5,0.1189,0.2619,0.2002,Rep,0.143
Claude Sonnet 4.5,atp_W45_SEEK,2,0.3528,0.344,0.3547,Dem,0.0088
Claude Sonnet 4.5,atp_W45_SMLIKESa,3,0.3397,0.359,0.35,Rep,0.0193
Claude Sonnet 4.5,atp_W45_SMLIKESb,3,0.2441,0.2512,0.2496,Rep,0.025
Claude Sonnet 4.5,atp_W45_SMLIKESc,3,0.2944,0.3124,0.3056,Rep,0.0724
Claude Sonnet 4.5,atp_W45_SMLIKESd,3,0.3302,0.3261,0.3283,Dem,0.0311
Claude Sonnet 4.5,atp_W45_SMLIKESe,3,0.1118,0.1086,0.113,Dem,0.0066
Claude Sonnet 4.5,atp_W45_SMLIKESf,3,0.2899,0.3126,0.302,Rep,0.026
Claude Sonnet 4.5,atp_W45_SMSHARE,5,0.3785,0.3622,0.3699,Dem,0.0229
Claude Sonnet 4.5,atp_W45_SMSHARER,2,0.1066,0.1149,0.1122,Rep,0.0083
Claude Sonnet 4.5,atp_W45_SOURCESKEPa,4,0.1692,0.201,0.1872,Rep,0.1485
Claude Sonnet 4.5,atp_W45_SOURCESKEPb,4,0.1701,0.1886,0.1806,Rep,0.0475
Claude Sonnet 4.5,atp_W45_SOURCESKEPc,4,0.2121,0.2288,0.2214,Rep,0.0479
Claude Sonnet 4.5,atp_W45_SOURCESKEPd,4,0.1146,0.1256,0.1212,Rep,0.011
Claude Sonnet 4.5,atp_W45_SOURCESKEPe,4,0.2102,0.2189,0.2149,Rep,0.049
Claude Sonnet 4.5,atp_W45_VIDOFT,4,0.159,0.1846,0.1748,Rep,0.069
Claude Sonnet 4.5,atp_W45_WATCHDOG_1,2,0.501,0.1352,0.2896,Dem,0.3658
Claude Sonnet 4.5,atp_W45_WATCHDOG_3,2,0.0992,0.398,0.2711,Rep,0.2988
Claude Sonnet 4.5,atp_W49_ANONYMOUS1CO,2,0.382,0.3452,0.3626,Dem,0.0367
Claude Sonnet 4.5,atp_W49_ANONYMOUS1GOV,2,0.374,0.346,0.3562,Dem,0.0281
Claude Sonnet 4.5,atp_W49_BENEFITCO,4,0.1712,0.1884,0.182,Rep,0.0516
Claude Sonnet 4.5,atp_W49_BENEFITGOV,4,0.1953,0.2018,0.1996,Rep,0.0619
Claude Sonnet 4.5,atp_W49_CONCERNCO,4,0.1989,0.1966,0.1989,Dem,0.0143
Claude Sonnet 4.5,atp_W49_CONCERNGOV,4,0.243,0.2247,0.2342,Dem,0.0183
Claude Sonnet 4.5,atp_W49_CONCERNGRPa,3,0.3278,0.3158,0.3222,Dem,0.1071
Claude Sonnet 4.5,atp_W49_CONCERNGRPb,3,0.3726,0.3818,0.3796,Rep,0.0092
Claude Sonnet 4.5,atp_W49_CONCERNGRPc,3,0.3162,0.2962,0.3054,Dem,0.0699
Claude Sonnet 4.5,atp_W49_CONCERNGRPd,3,0.2462,0.2483,0.2474,Rep,0.0246
Claude Sonnet 4.5,atp_W49_CONCERNGRPe,3,0.3365,0.3246,0.3298,Dem,0.0619
Claude Sonnet 4.5,atp_W49_CONCERNGRPf,3,0.3702,0.355,0.3656,Dem,0.0151
Claude Sonnet 4.5,atp_W49_CONTROLCO,4,0.1851,0.1512,0.167,Dem,0.0371
Claude Sonnet 4.5,atp_W49_CONTROLGOV,4,0.2064,0.1926,0.1987,Dem,0.0336
Claude Sonnet 4.5,atp_W49_CONTROLGRPa,3,0.257,0.246,0.2493,Dem,0.0624
Claude Sonnet 4.5,atp_W49_CONTROLGRPb,4,0.2177,0.2124,0.214,Dem,0.0242
Claude Sonnet 4.5,atp_W49_CONTROLGRPc,3,0.2872,0.2839,0.2837,Dem,0.0268
Claude Sonnet 4.5,atp_W49_CONTROLGRPd,3,0.231,0.23,0.2292,Dem,0.0433
Claude Sonnet 4.5,atp_W49_CONTROLGRPe,4,0.1987,0.2028,0.2011,Rep,0.014
Claude Sonnet 4.5,atp_W49_CONTROLGRPf,3,0.2569,0.2438,0.2489,Dem,0.0445
Claude Sonnet 4.5,atp_W49_DATAUSEa,3,0.37,0.3334,0.3496,Dem,0.0725
Claude Sonnet 4.5,atp_W49_DATAUSEb,3,0.3873,0.3428,0.3675,Dem,0.0445
Claude Sonnet 4.5,atp_W49_DATAUSEc,3,0.3452,0.333,0.3377,Dem,0.0456
Claude Sonnet 4.5,atp_W49_DATAUSEd,3,0.2821,0.328,0.3096,Rep,0.046
Claude Sonnet 4.5,atp_W49_DATAUSEe,3,0.5116,0.4886,0.5038,Dem,0.0627
Claude Sonnet 4.5,atp_W49_DATAUSEf,3,0.2605,0.2408,0.2518,Dem,0.0198
Claude Sonnet 4.5,atp_W49_DB1b,3,0.0532,0.0601,0.0573,Rep,0.0072
Claude Sonnet 4.5,atp_W49_DNATEST,2,0.17,0.1836,0.1735,Rep,0.0136
Claude Sonnet 4.5,atp_W49_ELECTFTGSNSINT,3,0.2394,0.2851,0.2666,Rep,0.0457
Claude Sonnet 4.5,atp_W49_FACE1,3,0.1732,0.192,0.1849,Rep,0.0197
Claude Sonnet 4.5,atp_W49_FACE2a,4,0.129,0.1323,0.1313,Rep,0.0332
Claude Sonnet 4.5,atp_W49_FACE2b,4,0.1539,0.1709,0.1639,Rep,0.0253
Claude Sonnet 4.5,atp_W49_FACE2c,4,0.1549,0.1752,0.1664,Rep,0.0526
Claude Sonnet 4.5,atp_W49_FACE3a,4,0.2841,0.2729,0.2782,Dem,0.0112
Claude Sonnet 4.5,atp_W49_FACE3b,4,0.2395,0.2256,0.2318,Dem,0.0139
Claude Sonnet 4.5,atp_W49_FACE3c,4,0.3779,0.3057,0.3371,Dem,0.1187
Claude Sonnet 4.5,atp_W49_FACE4a,3,0.1604,0.2591,0.2191,Rep,0.0987
Claude Sonnet 4.5,atp_W49_FACE4b,3,0.2813,0.2332,0.2563,Dem,0.0625
Claude Sonnet 4.5,atp_W49_FACE4c,3,0.1743,0.1761,0.1756,Rep,0.0018
Claude Sonnet 4.5,atp_W49_FACE4d,3,0.3327,0.2707,0.2986,Dem,0.062
Claude Sonnet 4.5,atp_W49_FITTRACK,2,0.8037,0.7555,0.7792,Dem,0.0483
Claude Sonnet 4.5,atp_W49_GOVREGV1,3,0.2428,0.1417,0.1915,Dem,0.1011
Claude Sonnet 4.5,atp_W49_GOVREGV2,2,0.6044,0.4956,0.5431,Dem,0.1088
Claude Sonnet 4.5,atp_W49_HOMEASSIST2,4,0.2246,0.2335,0.2309,Rep,0.0201
Claude Sonnet 4.5,atp_W49_HOMEASSIST3,3,0.3451,0.3132,0.3255,Dem,0.0592
Claude Sonnet 4.5,atp_W49_HOMEASSIST4,4,0.261,0.2351,0.2467,Dem,0.035
Claude Sonnet 4.5,atp_W49_KNOW1,5,0.1218,0.1133,0.1176,Dem,0.0102
Claude Sonnet 4.5,atp_W49_KNOW10,5,0.1553,0.2119,0.1839,Rep,0.0566
Claude Sonnet 4.5,atp_W49_KNOW2,5,0.257,0.2418,0.2544,Dem,0.0158
Claude Sonnet 4.5,atp_W49_KNOW3,5,0.37,0.3095,0.3421,Dem,0.0605
Claude Sonnet 4.5,atp_W49_KNOW4,5,0.6564,0.6158,0.6368,Dem,0.0405
Claude Sonnet 4.5,atp_W49_KNOW5,7,0.152,0.1434,0.1479,Dem,0.0086
Claude Sonnet 4.5,atp_W49_KNOW6,5,0.3645,0.3065,0.3344,Dem,0.0585
Claude Sonnet 4.5,atp_W49_KNOW7,5,0.5313,0.4111,0.4701,Dem,0.1203
Claude Sonnet 4.5,atp_W49_KNOW8,5,0.351,0.3175,0.3325,Dem,0.0403
Claude Sonnet 4.5,atp_W49_KNOW9,6,0.5939,0.5425,0.5683,Dem,0.0515
Claude Sonnet 4.5,atp_W49_LOYALTY,2,0.3168,0.3053,0.3135,Dem,0.0115
Claude Sonnet 4.5,atp_W49_POSNEGCO,2,0.1489,0.1844,0.1683,Rep,0.0355
Claude Sonnet 4.5,atp_W49_POSNEGGOV,2,0.313,0.3366,0.3261,Rep,0.0236
Claude Sonnet 4.5,atp_W49_PP1,5,0.4078,0.4326,0.4204,Rep,0.0249
Claude Sonnet 4.5,atp_W49_PP2,4,0.3025,0.3064,0.308,Rep,0.0091
Claude Sonnet 4.5,atp_W49_PP3,3,0.3748,0.3858,0.383,Rep,0.0282
Claude Sonnet 4.5,atp_W49_PP4,4,0.2775,0.2799,0.2784,Rep,0.0046
Claude Sonnet 4.5,atp_W49_PP5a,4,0.2051,0.2128,0.2095,Rep,0.0168
Claude Sonnet 4.5,atp_W49_PP5b,4,0.2047,0.2111,0.2074,Rep,0.018
Claude Sonnet 4.5,atp_W49_PP5c,4,0.2905,0.3125,0.3031,Rep,0.022
Claude Sonnet 4.5,atp_W49_PP5d,4,0.3585,0.3783,0.37,Rep,0.0198
Claude Sonnet 4.5,atp_W49_PP5e,4,0.3183,0.3136,0.317,Dem,0.01
Claude Sonnet 4.5,atp_W49_PP6a,4,0.2344,0.2103,0.2223,Dem,0.0341
Claude Sonnet 4.5,atp_W49_PP6b,4,0.3285,0.4141,0.3758,Rep,0.0856
Claude Sonnet 4.5,atp_W49_PP6c,4,0.2479,0.2492,0.2484,Rep,0.0083
Claude Sonnet 4.5,atp_W49_PRIVACYNEWS1,4,0.2049,0.1938,0.2014,Dem,0.0142
Claude Sonnet 4.5,atp_W49_PRIVACYREG,4,0.2749,0.2695,0.2718,Dem,0.0117
Claude Sonnet 4.5,atp_W49_PROFILE1,3,0.5138,0.5594,0.5361,Rep,0.0456
Claude Sonnet 4.5,atp_W49_PROFILE2,5,0.1259,0.1345,0.1325,Rep,0.0096
Claude Sonnet 4.5,atp_W49_PROFILE3,4,0.7511,0.767,0.7567,Rep,0.016
Claude Sonnet 4.5,atp_W49_PROFILE4,4,0.273,0.2718,0.2721,Dem,0.0034
Claude Sonnet 4.5,atp_W49_PROFILE5,4,0.1707,0.1602,0.165,Dem,0.0181
Claude Sonnet 4.5,atp_W49_PUBLICDATA,2,0.2254,0.2474,0.2373,Rep,0.022
Claude Sonnet 4.5,atp_W49_RTBFa,2,0.3795,0.4021,0.3944,Rep,0.0226
Claude Sonnet 4.5,atp_W49_RTBFb,2,0.6882,0.6904,0.6904,Rep,0.0022
Claude Sonnet 4.5,atp_W49_RTBFc,2,0.6063,0.5194,0.5647,Dem,0.0869
Claude Sonnet 4.5,atp_W49_RTBFd,2,0.1233,0.1274,0.1243,Rep,0.0041
Claude Sonnet 4.5,atp_W49_RTDa,2,0.3072,0.4162,0.3663,Rep,0.109
Claude Sonnet 4.5,atp_W49_RTDb,2,0.0882,0.1063,0.0977,Rep,0.0181
Claude Sonnet 4.5,atp_W49_RTDc,2,0.7433,0.7244,0.7314,Dem,0.0189
Claude Sonnet 4.5,atp_W49_RTDd,2,0.8683,0.7791,0.8177,Dem,0.0892
Claude Sonnet 4.5,atp_W49_SECUR1,3,0.1457,0.1366,0.1415,Dem,0.0134
Claude Sonnet 4.5,atp_W49_SMARTAPP,4,0.3397,0.3148,0.3266,Dem,0.0249
Claude Sonnet 4.5,atp_W49_SNSUSER,2,0.1942,0.1725,0.1814,Dem,0.0217
Claude Sonnet 4.5,atp_W49_SOCMEDIAUSEa,2,0.2633,0.2734,0.2688,Rep,0.01
Claude Sonnet 4.5,atp_W49_SOCMEDIAUSEb,2,0.6942,0.5758,0.6303,Dem,0.1183
Claude Sonnet 4.5,atp_W49_SOCMEDIAUSEc,2,0.175,0.2597,0.2196,Rep,0.0847
Claude Sonnet 4.5,atp_W49_SOCMEDIAUSEd,2,0.776,0.6745,0.7189,Dem,0.1016
Claude Sonnet 4.5,atp_W49_TALKCMNSNSINT,2,0.2695,0.2838,0.2784,Rep,0.0143
Claude Sonnet 4.5,atp_W49_TALKDISASNSINT,2,0.2903,0.281,0.2867,Dem,0.0093
Claude Sonnet 4.5,atp_W49_TRACKCO1a,5,0.1928,0.1938,0.1956,Rep,0.0145
Claude Sonnet 4.5,atp_W49_TRACKCO1b,5,0.2962,0.3029,0.3013,Rep,0.0089
Claude Sonnet 4.5,atp_W49_TRACKGOV1a,5,0.2409,0.2482,0.2461,Rep,0.0092
Claude Sonnet 4.5,atp_W49_TRACKGOV1b,5,0.2321,0.2299,0.2329,Dem,0.0074
Claude Sonnet 4.5,atp_W49_UNDERSTANDCO,4,0.1933,0.1887,0.1912,Dem,0.0178
Claude Sonnet 4.5,atp_W49_UNDERSTANDGOV,4,0.1696,0.1629,0.1661,Dem,0.0067
Claude Sonnet 4.5,atp_W50_ADKIDS,3,0.3024,0.2834,0.2942,Dem,0.0191
Claude Sonnet 4.5,atp_W50_DNA2a,2,0.1015,0.0766,0.0893,Dem,0.0249
Claude Sonnet 4.5,atp_W50_DNA2b,2,0.6701,0.6364,0.6531,Dem,0.0336
Claude Sonnet 4.5,atp_W50_DNA2c,2,0.6586,0.6721,0.6653,Rep,0.0135
Claude Sonnet 4.5,atp_W50_DNA3a,2,0.3342,0.3352,0.338,Rep,0.001
Claude Sonnet 4.5,atp_W50_DNA3b,2,0.2236,0.2625,0.2488,Rep,0.0389
Claude Sonnet 4.5,atp_W50_DNA3c,2,0.2008,0.2281,0.2187,Rep,0.0273
Claude Sonnet 4.5,atp_W50_DNA4,2,0.249,0.2441,0.2487,Dem,0.005
Claude Sonnet 4.5,atp_W50_DNA5,2,0.0954,0.1442,0.123,Rep,0.0487
Claude Sonnet 4.5,atp_W50_DNATEST,2,0.2131,0.2149,0.2126,Rep,0.0018
Claude Sonnet 4.5,atp_W50_E5MOD,3,0.5778,0.6289,0.6065,Rep,0.0511
Claude Sonnet 4.5,atp_W50_ENG,2,0.0793,0.0665,0.0704,Dem,0.0128
Claude Sonnet 4.5,atp_W50_FAMSURV1,3,0.5858,0.6277,0.6096,Rep,0.0418
Claude Sonnet 4.5,atp_W50_FAMSURV10a,4,0.1941,0.217,0.2079,Rep,0.0228
Claude Sonnet 4.5,atp_W50_FAMSURV10b,4,0.1434,0.1895,0.1706,Rep,0.0461
Claude Sonnet 4.5,atp_W50_FAMSURV10c,4,0.3344,0.3097,0.322,Dem,0.0246
Claude Sonnet 4.5,atp_W50_FAMSURV10e,4,0.0613,0.0812,0.0738,Rep,0.0222
Claude Sonnet 4.5,atp_W50_FAMSURV11M,3,0.4554,0.3844,0.4149,Dem,0.0881
Claude Sonnet 4.5,atp_W50_FAMSURV11W,3,0.2991,0.2631,0.278,Dem,0.1792
Claude Sonnet 4.5,atp_W50_FAMSURV12,3,0.259,0.4651,0.3775,Rep,0.2061
Claude Sonnet 4.5,atp_W50_FAMSURV16,3,0.5402,0.5612,0.5511,Rep,0.028
Claude Sonnet 4.5,atp_W50_FAMSURV18B,2,0.3007,0.2346,0.2624,Dem,0.0661
Claude Sonnet 4.5,atp_W50_FAMSURV19,4,0.219,0.2025,0.2102,Dem,0.0353
Claude Sonnet 4.5,atp_W50_FAMSURV22a,3,0.0388,0.0595,0.0492,Rep,0.0207
Claude Sonnet 4.5,atp_W50_FAMSURV22b,3,0.191,0.2018,0.1966,Rep,0.0108
Claude Sonnet 4.5,atp_W50_FAMSURV22c,3,0.4848,0.4854,0.4847,Rep,0.0082
Claude Sonnet 4.5,atp_W50_FAMSURV22d,3,0.3861,0.3867,0.3861,Rep,0.0435
Claude Sonnet 4.5,atp_W50_FAMSURV22e,3,0.3693,0.3559,0.3634,Dem,0.0564
Claude Sonnet 4.5,atp_W50_FAMSURV22f,3,0.413,0.3972,0.406,Dem,0.0453
Claude Sonnet 4.5,atp_W50_FAMSURV22g,3,0.2053,0.2452,0.2273,Rep,0.0399
Claude Sonnet 4.5,atp_W50_FAMSURV23a,3,0.1666,0.1406,0.1503,Dem,0.0383
Claude Sonnet 4.5,atp_W50_FAMSURV23b,3,0.2295,0.2174,0.2266,Dem,0.0322
Claude Sonnet 4.5,atp_W50_FAMSURV23c,3,0.0836,0.0758,0.0802,Dem,0.0085
Claude Sonnet 4.5,atp_W50_FAMSURV23d,3,0.4283,0.4252,0.4254,Dem,0.0105
Claude Sonnet 4.5,atp_W50_FAMSURV23e,3,0.5082,0.4514,0.4692,Dem,0.0568
Claude Sonnet 4.5,atp_W50_FAMSURV23f,3,0.3504,0.3429,0.3447,Dem,0.053
Claude Sonnet 4.5,atp_W50_FAMSURV23g,3,0.3622,0.3832,0.3776,Rep,0.0211
Claude Sonnet 4.5,atp_W50_FAMSURV25,4,0.2162,0.2057,0.2131,Dem,0.0105
Claude Sonnet 4.5,atp_W50_FAMSURV26a,4,0.2086,0.1937,0.1966,Dem,0.0266
Claude Sonnet 4.5,atp_W50_FAMSURV26b,4,0.2339,0.2575,0.2488,Rep,0.0392
Claude Sonnet 4.5,atp_W50_FAMSURV26c,4,0.1618,0.1466,0.1489,Dem,0.02
Claude Sonnet 4.5,atp_W50_FAMSURV26d,4,0.2451,0.2939,0.2782,Rep,0.0488
Claude Sonnet 4.5,atp_W50_FAMSURV29,4,0.3724,0.4076,0.3956,Rep,0.0352
Claude Sonnet 4.5,atp_W50_FAMSURV2Ma,3,0.188,0.2261,0.2096,Rep,0.1321
Claude Sonnet 4.5,atp_W50_FAMSURV2Mb,3,0.1882,0.1801,0.1838,Dem,0.074
Claude Sonnet 4.5,atp_W50_FAMSURV2Mc,3,0.1742,0.2085,0.1937,Rep,0.1137
Claude Sonnet 4.5,atp_W50_FAMSURV2Md,3,0.2987,0.2881,0.2936,Dem,0.0133
Claude Sonnet 4.5,atp_W50_FAMSURV2Me,3,0.1516,0.1717,0.1636,Rep,0.0201
Claude Sonnet 4.5,atp_W50_FAMSURV2Wa,3,0.1846,0.2228,0.2061,Rep,0.1394
Claude Sonnet 4.5,atp_W50_FAMSURV2Wb,3,0.21,0.1799,0.193,Dem,0.0934
Claude Sonnet 4.5,atp_W50_FAMSURV2Wc,3,0.1909,0.2074,0.2,Rep,0.1283
Claude Sonnet 4.5,atp_W50_FAMSURV2Wd,3,0.219,0.2475,0.2365,Rep,0.0709
Claude Sonnet 4.5,atp_W50_FAMSURV2We,3,0.1428,0.1503,0.1476,Rep,0.0197
Claude Sonnet 4.5,atp_W50_FAMSURV3,3,0.3733,0.1114,0.2245,Dem,0.2619
Claude Sonnet 4.5,atp_W50_FAMSURV30a,3,0.4099,0.3955,0.4002,Dem,0.085
Claude Sonnet 4.5,atp_W50_FAMSURV30b,3,0.4009,0.3798,0.3855,Dem,0.0846
Claude Sonnet 4.5,atp_W50_FAMSURV30c,3,0.3964,0.3914,0.3948,Dem,0.0933
Claude Sonnet 4.5,atp_W50_FAMSURV30d,3,0.3378,0.3639,0.3564,Rep,0.0339
Claude Sonnet 4.5,atp_W50_FAMSURV30e,3,0.428,0.4098,0.4138,Dem,0.0877
Claude Sonnet 4.5,atp_W50_FAMSURV30f,3,0.3874,0.4024,0.3985,Rep,0.0426
Claude Sonnet 4.5,atp_W50_FAMSURV32a,4,0.2398,0.2432,0.2417,Rep,0.0515
Claude Sonnet 4.5,atp_W50_FAMSURV32c,4,0.2117,0.2158,0.2148,Rep,0.0276
Claude Sonnet 4.5,atp_W50_FAMSURV32d,4,0.2132,0.2134,0.2149,Rep,0.0413
Claude Sonnet 4.5,atp_W50_FAMSURV32e,4,0.2125,0.2211,0.2178,Rep,0.0189
Claude Sonnet 4.5,atp_W50_FAMSURV33a,4,0.1091,0.1407,0.1271,Rep,0.0316
Claude Sonnet 4.5,atp_W50_FAMSURV33b,4,0.045,0.0676,0.0581,Rep,0.0225
Claude Sonnet 4.5,atp_W50_FAMSURV33c,4,0.1805,0.1969,0.1904,Rep,0.0164
Claude Sonnet 4.5,atp_W50_FAMSURV33d,4,0.0852,0.1088,0.0981,Rep,0.0236
Claude Sonnet 4.5,atp_W50_FAMSURV34A,3,0.3012,0.236,0.2632,Dem,0.0652
Claude Sonnet 4.5,atp_W50_FAMSURV34B,3,0.366,0.4002,0.3844,Rep,0.0341
Claude Sonnet 4.5,atp_W50_FAMSURV35a,2,0.4651,0.5594,0.5196,Rep,0.0943
Claude Sonnet 4.5,atp_W50_FAMSURV35b,2,0.4841,0.3878,0.4331,Dem,0.0963
Claude Sonnet 4.5,atp_W50_FAMSURV35c,2,0.1828,0.2161,0.2033,Rep,0.0332
Claude Sonnet 4.5,atp_W50_FAMSURV36a,2,0.1291,0.1731,0.154,Rep,0.044
Claude Sonnet 4.5,atp_W50_FAMSURV36b,2,0.1352,0.2074,0.1769,Rep,0.0722
Claude Sonnet 4.5,atp_W50_FAMSURV36c,2,0.19,0.2873,0.2444,Rep,0.0973
Claude Sonnet 4.5,atp_W50_FAMSURV37,3,0.2582,0.2068,0.2238,Dem,0.0514
Claude Sonnet 4.5,atp_W50_FAMSURV38a,3,0.4908,0.515,0.5036,Rep,0.0241
Claude Sonnet 4.5,atp_W50_FAMSURV38b,3,0.6567,0.6338,0.6413,Dem,0.0229
Claude Sonnet 4.5,atp_W50_FAMSURV38c,3,0.3524,0.3257,0.3383,Dem,0.0555
Claude Sonnet 4.5,atp_W50_FAMSURV4,2,0.7354,0.3861,0.5357,Dem,0.3492
Claude Sonnet 4.5,atp_W50_FAMSURV40,4,0.3213,0.4396,0.3996,Rep,0.1184
Claude Sonnet 4.5,atp_W50_FAMSURV41,3,0.6658,0.5948,0.6161,Dem,0.0709
Claude Sonnet 4.5,atp_W50_FAMSURV42a,2,0.6359,0.5728,0.5923,Dem,0.063
Claude Sonnet 4.5,atp_W50_FAMSURV42b,2,0.6793,0.6647,0.6743,Dem,0.0147
Claude Sonnet 4.5,atp_W50_FAMSURV42c,2,0.7174,0.5861,0.6234,Dem,0.1313
Claude Sonnet 4.5,atp_W50_FAMSURV42d,2,0.4783,0.4209,0.4414,Dem,0.0573
Claude Sonnet 4.5,atp_W50_FAMSURV43,4,0.1927,0.2085,0.2006,Rep,0.0254
Claude Sonnet 4.5,atp_W50_FAMSURV44,4,0.5545,0.6205,0.5875,Rep,0.066
Claude Sonnet 4.5,atp_W50_FAMSURV45,3,0.513,0.485,0.4984,Dem,0.0281
Claude Sonnet 4.5,atp_W50_FAMSURV46a,2,0.4639,0.4415,0.4552,Dem,0.0224
Claude Sonnet 4.5,atp_W50_FAMSURV46b,2,0.5627,0.5905,0.5796,Rep,0.0278
Claude Sonnet 4.5,atp_W50_FAMSURV46c,2,0.6867,0.6434,0.6653,Dem,0.0433
Claude Sonnet 4.5,atp_W50_FAMSURV46d,2,0.4294,0.3817,0.4046,Dem,0.0477
Claude Sonnet 4.5,atp_W50_FAMSURV5a,3,0.2666,0.3013,0.2886,Rep,0.0347
Claude Sonnet 4.5,atp_W50_FAMSURV5b,3,0.2944,0.4118,0.3621,Rep,0.1173
Claude Sonnet 4.5,atp_W50_FAMSURV5c,3,0.3065,0.3192,0.3164,Rep,0.0127
Claude Sonnet 4.5,atp_W50_FAMSURV5d,3,0.2324,0.1353,0.1754,Dem,0.1137
Claude Sonnet 4.5,atp_W50_FAMSURV6,4,0.32,0.2523,0.2807,Dem,0.2857
Claude Sonnet 4.5,atp_W50_FAMSURV7,3,0.4834,0.5771,0.5341,Rep,0.0936
Claude Sonnet 4.5,atp_W50_FAMSURV8,2,0.6518,0.2829,0.4387,Dem,0.3689
Claude Sonnet 4.5,atp_W50_FAMSURV9a,4,0.248,0.2398,0.2428,Dem,0.012
Claude Sonnet 4.5,atp_W50_FAMSURV9b,4,0.1446,0.1941,0.1721,Rep,0.0495
Claude Sonnet 4.5,atp_W50_FAMSURV9c,4,0.3479,0.3212,0.3346,Dem,0.0277
Claude Sonnet 4.5,atp_W50_FAMSURV9e,4,0.0178,0.0335,0.0271,Rep,0.0156
Claude Sonnet 4.5,atp_W50_HAVEKIDS1,4,0.4995,0.5007,0.5003,Rep,0.0301
Claude Sonnet 4.5,atp_W50_MARRYPREF1,3,0.3903,0.4444,0.43,Rep,0.054
Claude Sonnet 4.5,atp_W50_MARRYPREF2,3,0.3814,0.3888,0.3863,Rep,0.0074
Claude Sonnet 4.5,atp_W50_ORIENTATIONMOD,5,0.7399,0.7273,0.7322,Dem,0.0314
Claude Sonnet 4.5,atp_W50_PAR1,3,0.3046,0.305,0.305,Rep,0.0219
Claude Sonnet 4.5,atp_W50_PAR2,3,0.227,0.2504,0.2434,Rep,0.0233
Claude Sonnet 4.5,atp_W50_SATLIFEa,4,0.2357,0.2158,0.2248,Dem,0.0454
Claude Sonnet 4.5,atp_W50_SATLIFEb,4,0.193,0.1917,0.1927,Dem,0.05
Claude Sonnet 4.5,atp_W50_SATLIFEc,4,0.2104,0.2434,0.2302,Rep,0.0744
Claude Sonnet 4.5,atp_W50_SATLIFEd,4,0.2072,0.2099,0.2085,Rep,0.0509
Claude Sonnet 4.5,atp_W50_SIB,3,0.5993,0.6112,0.6055,Rep,0.0148
Claude Sonnet 4.5,atp_W50_SPOUSESEX,2,0.0125,0.0458,0.0296,Rep,0.0333
Claude Sonnet 4.5,atp_W54_BENEFITSa,2,0.0735,0.1336,0.1104,Rep,0.0601
Claude Sonnet 4.5,atp_W54_BENEFITSb,2,0.1443,0.2063,0.183,Rep,0.062
Claude Sonnet 4.5,atp_W54_BENEFITSc,2,0.0327,0.0466,0.0409,Rep,0.0139
Claude Sonnet 4.5,atp_W54_DEBTa,2,0.4857,0.4638,0.471,Dem,0.0219
Claude Sonnet 4.5,atp_W54_DEBTb,2,0.4367,0.398,0.4142,Dem,0.0387
Claude Sonnet 4.5,atp_W54_DEBTc,2,0.187,0.2817,0.2397,Rep,0.0947
Claude Sonnet 4.5,atp_W54_DEBTd,2,0.5152,0.4426,0.4701,Dem,0.0726
Claude Sonnet 4.5,atp_W54_DEBTe,2,0.2392,0.2674,0.2583,Rep,0.0283
Claude Sonnet 4.5,atp_W54_ECIMPa,3,0.1087,0.148,0.1314,Rep,0.0393
Claude Sonnet 4.5,atp_W54_ECIMPb,3,0.3426,0.3226,0.333,Dem,0.0201
Claude Sonnet 4.5,atp_W54_ECIMPc,3,0.4212,0.2242,0.3102,Dem,0.1971
Claude Sonnet 4.5,atp_W54_ECIMPd,3,0.446,0.2275,0.3242,Dem,0.2185
Claude Sonnet 4.5,atp_W54_ECIMPe,3,0.1349,0.1262,0.1296,Dem,0.0326
Claude Sonnet 4.5,atp_W54_ECIMPf,3,0.2901,0.055,0.1538,Dem,0.2351
Claude Sonnet 4.5,atp_W54_ECIMPg,3,0.3106,0.0509,0.1584,Dem,0.2597
Claude Sonnet 4.5,atp_W54_ECIMPh,3,0.2349,0.0418,0.1214,Dem,0.1931
Claude Sonnet 4.5,atp_W54_ECIMPi,3,0.1604,0.0984,0.1246,Dem,0.0838
Claude Sonnet 4.5,atp_W54_ECIMPj,3,0.2403,0.1241,0.1743,Dem,0.1162
Claude Sonnet 4.5,atp_W54_ECON1,4,0.6638,0.4453,0.5367,Dem,0.2185
Claude Sonnet 4.5,atp_W54_ECON1B,3,0.4034,0.3273,0.3578,Dem,0.1909
Claude Sonnet 4.5,atp_W54_ECON3_a,4,0.2249,0.1939,0.2063,Dem,0.082
