model_label,question_id,condition,n_options,wd_rep,wd_dem,wd_overall,closer_to,partisan_gap,llm_dist
DeepSeek-R1,atp_W42_RQ4_F1Be,C3L,4,0.3663,0.1936,0.2698,Dem,0.1727,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ4_F1Be,C3R,4,0.1868,0.2093,0.1988,Rep,0.1727,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ4_F1Be,CA,4,0.3663,0.1936,0.2698,Dem,0.1727,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ4_F1Be,N,4,0.3663,0.1936,0.2698,Dem,0.1727,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,C1L,2,0.4761,0.6953,0.5949,Rep,0.2192,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,C1R,2,0.5239,0.3047,0.4051,Dem,0.2192,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,C3L,2,0.4761,0.6953,0.5949,Rep,0.2192,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,C3R,2,0.4761,0.6953,0.5949,Rep,0.2192,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,CA,2,0.4761,0.6953,0.5949,Rep,0.2192,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ6_F1B,N,2,0.4761,0.6953,0.5949,Rep,0.2192,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,C1L,2,0.4153,0.2689,0.3299,Dem,0.1464,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,C1R,2,0.4153,0.2689,0.3299,Dem,0.1464,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,C3L,2,0.4153,0.2689,0.3299,Dem,0.1464,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,C3R,2,0.5847,0.7311,0.6701,Rep,0.1464,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,CA,2,0.4153,0.2689,0.3299,Dem,0.1464,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ7_F1B,N,2,0.4153,0.2689,0.3299,Dem,0.1464,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,C1L,4,0.2863,0.2091,0.2427,Dem,0.1327,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,C1R,4,0.2863,0.2091,0.2427,Dem,0.1327,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,C3L,4,0.2863,0.2091,0.2427,Dem,0.1327,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,C3R,4,0.2157,0.268,0.2461,Rep,0.1327,"[0.0, 0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,CA,4,0.2863,0.2091,0.2427,Dem,0.1327,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_RQ8_F1B,N,4,0.2863,0.2091,0.2427,Dem,0.1327,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,C1L,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,C1R,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,C3L,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,C3R,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,CA,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM2,N,2,0.4549,0.2683,0.3506,Dem,0.1866,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM3,C1L,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM3,C1R,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM3,C3L,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM3,C3R,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM3,CA,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM3,N,2,0.4265,0.653,0.5568,Rep,0.2265,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5c,C1L,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5c,C1R,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5c,C3L,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5c,C3R,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5c,CA,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5c,N,2,0.2992,0.174,0.2286,Dem,0.1252,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5d,C1L,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5d,C1R,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5d,C3L,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5d,C3R,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5d,CA,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5d,N,2,0.3372,0.1849,0.2532,Dem,0.1523,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5e,C1L,2,0.4098,0.2482,0.3184,Dem,0.1616,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5e,C1R,2,0.4098,0.2482,0.3184,Dem,0.1616,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5e,C3L,2,0.5902,0.7518,0.6816,Rep,0.1616,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5e,C3R,2,0.4098,0.2482,0.3184,Dem,0.1616,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5e,CA,2,0.4098,0.2482,0.3184,Dem,0.1616,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5e,N,2,0.4098,0.2482,0.3184,Dem,0.1616,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5f,C1L,2,0.3308,0.1782,0.2497,Dem,0.1526,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5f,C1R,2,0.3308,0.1782,0.2497,Dem,0.1526,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5f,C3L,2,0.3308,0.1782,0.2497,Dem,0.1526,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5f,C3R,2,0.6692,0.8218,0.7503,Rep,0.1526,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5f,CA,2,0.3308,0.1782,0.2497,Dem,0.1526,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5f,N,2,0.3308,0.1782,0.2497,Dem,0.1526,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5j,C1L,2,0.551,0.3683,0.4442,Dem,0.1827,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5j,C1R,2,0.551,0.3683,0.4442,Dem,0.1827,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5j,C3L,2,0.551,0.3683,0.4442,Dem,0.1827,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5j,C3R,2,0.449,0.6317,0.5558,Rep,0.1827,"[1.0, 0.0]"
DeepSeek-R1,atp_W42_SCM5j,CA,2,0.551,0.3683,0.4442,Dem,0.1827,"[0.0, 1.0]"
DeepSeek-R1,atp_W42_SCM5j,N,2,0.551,0.3683,0.4442,Dem,0.1827,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,C1L,3,0.4396,0.3712,0.3969,Dem,0.1524,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,C1R,3,0.1036,0.256,0.1996,Rep,0.1524,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,C3L,3,0.4396,0.3712,0.3969,Dem,0.1524,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,C3R,3,0.1036,0.256,0.1996,Rep,0.1524,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,CA,3,0.1036,0.256,0.1996,Rep,0.1524,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONa,N,3,0.1036,0.256,0.1996,Rep,0.1524,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,C1L,3,0.3866,0.358,0.368,Dem,0.1768,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,C1R,3,0.3866,0.358,0.368,Dem,0.1768,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,C3L,3,0.3866,0.358,0.368,Dem,0.1768,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,C3R,3,0.266,0.4428,0.3775,Rep,0.1768,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,CA,3,0.3866,0.358,0.368,Dem,0.1768,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_ADMISSIONh,N,3,0.3866,0.358,0.368,Dem,0.1768,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_IDIMPORT,C1L,5,0.3372,0.3343,0.3356,Dem,0.2413,"[0.0, 0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_IDIMPORT,C1R,5,0.3503,0.5916,0.5042,Rep,0.2413,"[0.0, 0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_IDIMPORT,C3L,5,0.6497,0.4084,0.4958,Dem,0.2413,"[1.0, 0.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_IDIMPORT,C3R,5,0.3503,0.5916,0.5042,Rep,0.2413,"[0.0, 0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_IDIMPORT,CA,5,0.3503,0.5916,0.5042,Rep,0.2413,"[0.0, 0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_IDIMPORT,N,5,0.3503,0.5916,0.5042,Rep,0.2413,"[0.0, 0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACATTN,C1L,3,0.4226,0.1824,0.2682,Dem,0.2912,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACATTN,C1R,3,0.229,0.5202,0.4192,Rep,0.2912,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACATTN,C3L,3,0.4226,0.1824,0.2682,Dem,0.2912,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACATTN,C3R,3,0.229,0.5202,0.4192,Rep,0.2912,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACATTN,CA,3,0.771,0.4798,0.5808,Dem,0.2912,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACATTN,N,3,0.771,0.4798,0.5808,Dem,0.2912,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV10,C1L,2,0.5226,0.2826,0.3681,Dem,0.24,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV10,C1R,2,0.5226,0.2826,0.3681,Dem,0.24,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV10,C3L,2,0.5226,0.2826,0.3681,Dem,0.24,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV10,C3R,2,0.4774,0.7174,0.6319,Rep,0.24,"[1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV10,CA,2,0.5226,0.2826,0.3681,Dem,0.24,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV10,N,2,0.5226,0.2826,0.3681,Dem,0.24,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV12,C1L,3,0.4114,0.1307,0.231,Dem,0.2806,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV12,C1R,3,0.4114,0.1307,0.231,Dem,0.2806,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV12,C3L,3,0.4114,0.1307,0.231,Dem,0.2806,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV12,C3R,3,0.6408,0.5861,0.6068,Dem,0.2806,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV12,CA,3,0.4114,0.1307,0.231,Dem,0.2806,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV12,N,3,0.4114,0.1307,0.231,Dem,0.2806,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV14,C1L,4,0.5884,0.0657,0.2474,Dem,0.5228,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV14,C1R,4,0.5884,0.0657,0.2474,Dem,0.5228,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV14,C3L,4,0.5884,0.0657,0.2474,Dem,0.5228,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV14,C3R,4,0.4116,0.9343,0.7526,Rep,0.5228,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV14,CA,4,0.5884,0.0657,0.2474,Dem,0.5228,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV14,N,4,0.5884,0.0657,0.2474,Dem,0.5228,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV15a,C1L,3,0.5104,0.1037,0.2512,Dem,0.4067,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15a,C1R,3,0.5104,0.1037,0.2512,Dem,0.4067,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15a,C3L,3,0.5104,0.1037,0.2512,Dem,0.4067,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15a,C3R,3,0.4896,0.8963,0.7488,Rep,0.4067,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV15a,CA,3,0.5104,0.1037,0.2512,Dem,0.4067,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15a,N,3,0.5104,0.1037,0.2512,Dem,0.4067,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15b,C1L,3,0.6242,0.2272,0.3713,Dem,0.397,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15b,C1R,3,0.6242,0.2272,0.3713,Dem,0.397,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15b,C3L,3,0.6242,0.2272,0.3713,Dem,0.397,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15b,C3R,3,0.3758,0.7728,0.6287,Rep,0.397,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV15b,CA,3,0.6242,0.2272,0.3713,Dem,0.397,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV15b,N,3,0.6242,0.2272,0.3713,Dem,0.397,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV16,C1L,2,0.6502,0.45,0.5217,Dem,0.2002,"[1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV16,C1R,2,0.3498,0.55,0.4783,Rep,0.2002,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV16,C3L,2,0.6502,0.45,0.5217,Dem,0.2002,"[1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV16,C3R,2,0.3498,0.55,0.4783,Rep,0.2002,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV16,CA,2,0.6502,0.45,0.5217,Dem,0.2002,"[1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV16,N,2,0.3498,0.55,0.4783,Rep,0.2002,"[0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV17,C1L,4,0.5371,0.2369,0.3457,Dem,0.3001,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV17,C1R,4,0.3318,0.2389,0.2716,Dem,0.3001,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV17,C3L,4,0.5371,0.2369,0.3457,Dem,0.3001,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV17,C3R,4,0.3079,0.4641,0.4075,Rep,0.3001,"[0.0, 0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV17,CA,4,0.5371,0.2369,0.3457,Dem,0.3001,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV17,N,4,0.5371,0.2369,0.3457,Dem,0.3001,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,C1L,3,0.5856,0.1757,0.323,Dem,0.41,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,C1R,3,0.5856,0.1757,0.323,Dem,0.41,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,C3L,3,0.5856,0.1757,0.323,Dem,0.41,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,C3R,3,0.2709,0.3914,0.3489,Rep,0.41,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,CA,3,0.5856,0.1757,0.323,Dem,0.41,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19a,N,3,0.5856,0.1757,0.323,Dem,0.41,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19b,C1L,3,0.5911,0.3393,0.428,Dem,0.2519,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV19b,C1R,3,0.5911,0.3393,0.428,Dem,0.2519,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV19b,C3L,3,0.5911,0.3393,0.428,Dem,0.2519,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV19b,C3R,3,0.4089,0.6607,0.572,Rep,0.2519,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19b,CA,3,0.5911,0.3393,0.428,Dem,0.2519,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV19b,N,3,0.5911,0.3393,0.428,Dem,0.2519,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV19c,C1L,3,0.5274,0.2176,0.3312,Dem,0.3097,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19c,C1R,3,0.5274,0.2176,0.3312,Dem,0.3097,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19c,C3L,3,0.5274,0.2176,0.3312,Dem,0.3097,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19c,C3R,3,0.3194,0.3954,0.3667,Rep,0.3097,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19c,CA,3,0.5274,0.2176,0.3312,Dem,0.3097,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19c,N,3,0.5274,0.2176,0.3312,Dem,0.3097,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,C1L,3,0.3578,0.3026,0.3226,Dem,0.1462,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,C1R,3,0.3578,0.3026,0.3226,Dem,0.1462,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,C3L,3,0.3578,0.3026,0.3226,Dem,0.1462,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,C3R,3,0.3216,0.4677,0.419,Rep,0.1462,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,CA,3,0.3578,0.3026,0.3226,Dem,0.1462,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19d,N,3,0.3578,0.3026,0.3226,Dem,0.1462,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,C1L,3,0.6104,0.2312,0.3667,Dem,0.3793,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,C1R,3,0.3168,0.3822,0.359,Rep,0.3793,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,C3L,3,0.6104,0.2312,0.3667,Dem,0.3793,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,C3R,3,0.3168,0.3822,0.359,Rep,0.3793,"[0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,CA,3,0.6104,0.2312,0.3667,Dem,0.3793,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV19e,N,3,0.6104,0.2312,0.3667,Dem,0.3793,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,C1L,5,0.3587,0.142,0.2232,Dem,0.2167,"[1.0, 0.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,C1R,5,0.3587,0.142,0.2232,Dem,0.2167,"[1.0, 0.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,C3L,5,0.3587,0.142,0.2232,Dem,0.2167,"[1.0, 0.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,C3R,5,0.3069,0.2646,0.2817,Dem,0.2167,"[0.0, 1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,CA,5,0.3069,0.2646,0.2817,Dem,0.2167,"[0.0, 1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV2,N,5,0.3069,0.2646,0.2817,Dem,0.2167,"[0.0, 1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV21,C1L,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV21,C1R,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV21,C3L,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV21,C3R,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV21,CA,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV21,N,4,0.1938,0.3933,0.3212,Rep,0.1996,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV22,C1L,4,0.1511,0.2743,0.2297,Rep,0.1232,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV22,C1R,4,0.1511,0.2743,0.2297,Rep,0.1232,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV22,C3L,4,0.5314,0.436,0.4707,Dem,0.1232,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV22,C3R,4,0.1511,0.2743,0.2297,Rep,0.1232,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV22,CA,4,0.1511,0.2743,0.2297,Rep,0.1232,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV22,N,4,0.1511,0.2743,0.2297,Rep,0.1232,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV25,C1L,4,0.4018,0.5774,0.5132,Rep,0.1756,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV25,C1R,4,0.4018,0.5774,0.5132,Rep,0.1756,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV25,C3L,4,0.5982,0.4226,0.4868,Dem,0.1756,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV25,C3R,4,0.2614,0.3442,0.3144,Rep,0.1756,"[0.0, 0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV25,CA,4,0.4018,0.5774,0.5132,Rep,0.1756,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV25,N,4,0.4018,0.5774,0.5132,Rep,0.1756,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV26,C1L,4,0.3267,0.2572,0.2836,Dem,0.1189,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV26,C1R,4,0.3267,0.2572,0.2836,Dem,0.1189,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV26,C3L,4,0.5911,0.4722,0.516,Dem,0.1189,"[1.0, 0.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV26,C3R,4,0.2633,0.309,0.2928,Rep,0.1189,"[0.0, 0.0, 1.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV26,CA,4,0.4089,0.5278,0.484,Rep,0.1189,"[0.0, 0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV26,N,4,0.3267,0.2572,0.2836,Dem,0.1189,"[0.0, 1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28a,C1L,3,0.6616,0.1918,0.3612,Dem,0.4697,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28a,C1R,3,0.6616,0.1918,0.3612,Dem,0.4697,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28a,C3L,3,0.6616,0.1918,0.3612,Dem,0.4697,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28a,C3R,3,0.3384,0.8082,0.6388,Rep,0.4697,"[0.0, 0.0, 1.0]"
DeepSeek-R1,atp_W43_RACESURV28a,CA,3,0.6616,0.1918,0.3612,Dem,0.4697,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28a,N,3,0.6616,0.1918,0.3612,Dem,0.4697,"[1.0, 0.0, 0.0]"
DeepSeek-R1,atp_W43_RACESURV28b,C1L,3,0.7584,0.2958,0.4611,Dem,0.4625,"[1.0, 0.0, 0.0]"
