wave,var_name,question,n_options,option_labels,dist_overall,dist_rep,dist_dem,n_overall,n_rep,n_dem,partisan_gap,error
W34,EAT3E,"Which of the following, if any, do you restrict or limit eating on a regular basis? Cholesterol",2,"[""Not selected"", ""Cholesterol""]","[0.7371, 0.2629]","[0.7602, 0.2398]","[0.7234, 0.2766]",2537,976,1486,0.0368,
W34,EAT3F,"Which of the following, if any, do you restrict or limit eating on a regular basis? Sugar",2,"[""Not selected"", ""Sugar""]","[0.5735, 0.4265]","[0.5758, 0.4242]","[0.57, 0.43]",2537,976,1486,0.0058,
W34,EAT3G,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial preservatives",2,"[""Not selected"", ""Artificial preservatives""]","[0.6322, 0.3678]","[0.6568, 0.3432]","[0.6164, 0.3836]",2537,976,1486,0.0403,
W34,EAT3H,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial colors",2,"[""Not selected"", ""Artificial colors""]","[0.7032, 0.2968]","[0.7326, 0.2674]","[0.6864, 0.3136]",2537,976,1486,0.0462,
W34,EAT3I,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial sweeteners",2,"[""Not selected"", ""Artificial sweeteners""]","[0.5262, 0.4738]","[0.5328, 0.4672]","[0.5242, 0.4758]",2537,976,1486,0.0086,
W34,EAT3J,"Which of the following, if any, do you restrict or limit eating on a regular basis? Gluten",2,"[""Not selected"", ""Gluten""]","[0.8778, 0.1222]","[0.8842, 0.1158]","[0.8755, 0.1245]",2537,976,1486,0.0087,
W34,EAT3K,"Which of the following, if any, do you restrict or limit eating on a regular basis? None of these",2,"[""Not selected"", ""None of these""]","[0.808, 0.192]","[0.79, 0.21]","[0.8217, 0.1783]",2537,976,1486,0.0317,
W34,FUD22,How much of the food you eat is organic?,4,"[""Most of it"", ""Some of it"", ""Not too much"", ""None at all""]","[0.0701, 0.3604, 0.4182, 0.1513]","[0.0669, 0.3296, 0.4325, 0.171]","[0.0723, 0.384, 0.407, 0.1366]",2537,976,1486,0.0332,
W34,FUD24,Do you think organic fruits and vegetables are generally…,3,"[""Better for one\u2019s health than conventionally grown foods"", ""Worse for one\u2019s health than conventionally grown foods"", ""Neither better nor worse for one\u2019s health than conventionally grown foods""]","[0.4633, 0.0222, 0.5145]","[0.4068, 0.0227, 0.5705]","[0.4997, 0.0217, 0.4786]",2537,976,1486,0.0924,
W34,EAT5A,"How much health risk, if any, does eating each of the following have for the average person over the course of their lifetime? Fruits and vegetables grown with pesticides",4,"[""A great deal of health risk"", ""Some health risk"", ""Not too much health risk"", ""No health risk at all""]","[0.3177, 0.4879, 0.1648, 0.0296]","[0.2587, 0.4969, 0.2043, 0.04]","[0.3479, 0.4895, 0.1409, 0.0216]",2537,976,1486,0.0632,
W34,EAT5B,"How much health risk, if any, does eating each of the following have for the average person over the course of their lifetime? Meat from animals that have been given antibiotics or hormones",4,"[""A great deal of health risk"", ""Some health risk"", ""Not too much health risk"", ""No health risk at all""]","[0.3329, 0.4745, 0.1617, 0.0308]","[0.269, 0.4671, 0.2187, 0.0452]","[0.3653, 0.4882, 0.1256, 0.0209]",2537,976,1486,0.0793,
W34,EAT5C,"How much health risk, if any, does eating each of the following have for the average person over the course of their lifetime? Food and drinks with artificial coloring",4,"[""A great deal of health risk"", ""Some health risk"", ""Not too much health risk"", ""No health risk at all""]","[0.1987, 0.498, 0.2553, 0.0479]","[0.1708, 0.4825, 0.287, 0.0597]","[0.2086, 0.5105, 0.2397, 0.0412]",2537,976,1486,0.0407,
W34,EAT5D,"How much health risk, if any, does eating each of the following have for the average person over the course of their lifetime? Food and drinks with artificial preservatives",4,"[""A great deal of health risk"", ""Some health risk"", ""Not too much health risk"", ""No health risk at all""]","[0.2642, 0.54, 0.1681, 0.0277]","[0.2413, 0.5411, 0.1869, 0.0308]","[0.275, 0.5405, 0.1588, 0.0257]",2537,976,1486,0.024,
W34,EAT6,"Which of these statements comes closer to your view, even if neither is exactly right?",2,"[""The average person is exposed to additives in the food they eat every day, which pose a serious risk to their health"", ""The average person is exposed to additives in the food they eat every day but they eat such a small amount that this doe""]","[0.507, 0.493]","[0.421, 0.579]","[0.5553, 0.4447]",2537,976,1486,0.1343,
W34,FUD32,"Genetically modified foods...come from a technique that adds genes from other organisms to change that food’s genetic characteristics. How much, if anything, have you heard or read about foods with ge",3,"[""A lot"", ""A little"", ""Nothing at all""]","[0.3138, 0.5818, 0.1043]","[0.2881, 0.5967, 0.1152]","[0.3378, 0.5684, 0.0937]",2537,976,1486,0.0356,
W34,FUD33A,Do you think foods with genetically modified ingredients are generally…,4,"[""Better for your health than foods with no genetically modified ingredients"", ""Worse for your health than foods with no genetically modified ingredients"", ""Neither better nor worse for your health than foods with no genetically modified ingredients"", ""Not sure""]","[0.0348, 0.4053, 0.3037, 0.2562]","[0.0307, 0.4098, 0.2982, 0.2613]","[0.0365, 0.4016, 0.3178, 0.2441]",2537,976,1486,0.0085,
W34,FUD35,"How much do you, personally, care about the issue of genetically modified foods?",4,"[""A great deal"", ""Some"", ""Not too much"", ""Not at all""]","[0.2411, 0.396, 0.2787, 0.0842]","[0.2115, 0.3737, 0.309, 0.1057]","[0.2566, 0.4099, 0.264, 0.0695]",2537,976,1486,0.0542,
W34,FUD37A,How likely is it that genetically modified foods will…Lead to more affordably-priced food,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.2501, 0.3853, 0.2974, 0.0672]","[0.2327, 0.3913, 0.3059, 0.07]","[0.2633, 0.3871, 0.2891, 0.0605]",2537,976,1486,0.0221,
W34,FUD37B,How likely is it that genetically modified foods will…Lead to health problems for the population as a whole,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.2467, 0.3393, 0.3457, 0.0683]","[0.2122, 0.3437, 0.3737, 0.0704]","[0.2587, 0.3336, 0.3404, 0.0674]",2537,976,1486,0.0286,
W34,FUD37C,How likely is it that genetically modified foods will…Create problems for the environment,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.2261, 0.3373, 0.3776, 0.059]","[0.1806, 0.2941, 0.4469, 0.0784]","[0.2515, 0.3661, 0.3367, 0.0457]",2537,976,1486,0.0822,
W34,FUD37D,How likely is it that genetically modified foods will…Increase the global food supply,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.323, 0.4535, 0.1862, 0.0374]","[0.3038, 0.4768, 0.1926, 0.0268]","[0.3388, 0.4399, 0.1806, 0.0407]",2537,976,1486,0.017,
W34,MED1,"Thinking now about medicine…Which of these statements comes closer to your point of view, even if neither is exactly right?",2,"[""Medical treatments these days are worth the costs because they allow people to live longer and better quality lives"", ""Medical treatments these days often create as many problems as they solve""]","[0.5242, 0.4758]","[0.5316, 0.4684]","[0.5335, 0.4665]",2537,976,1486,0.0019,
W34,MED2A,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? Healthcare providers are too quick to order tests and procedures that may not be necessary",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.4566, 0.4313, 0.1121]","[0.4872, 0.4121, 0.1007]","[0.4269, 0.4526, 0.1204]",2537,976,1486,0.04,
W34,MED2B,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? People rely too much on prescription medicines that may not be necessary",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.6855, 0.2853, 0.0292]","[0.6944, 0.2821, 0.0236]","[0.6766, 0.2917, 0.0317]",2537,976,1486,0.013,
W34,MED2C,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? New treatments are made available before we fully understand how they affect people’s health",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.4184, 0.4881, 0.0935]","[0.3852, 0.518, 0.0968]","[0.4297, 0.477, 0.0932]",2537,976,1486,0.0241,
W34,MED2D,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? The cost of treatments makes quality medical care unaffordable",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.8522, 0.1312, 0.0166]","[0.8109, 0.1665, 0.0226]","[0.8792, 0.1093, 0.0115]",2537,976,1486,0.0397,
W34,MED2E,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? New treatments are so complex that patients cannot make informed decisions",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.4219, 0.4934, 0.0846]","[0.4091, 0.5114, 0.0795]","[0.4228, 0.4885, 0.0888]",2537,976,1486,0.0114,
W34,MED2F,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? Side effects from prescription medicines create as many problems as the medicines solve",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.5601, 0.3948, 0.0451]","[0.5451, 0.4109, 0.0441]","[0.5635, 0.3932, 0.0432]",2537,976,1486,0.0096,
W34,MED2G,"Thinking about medical treatments these days, how much of a problem, if at all, are each of the following? The process for evaluating the safety and effectiveness of new medical treatments is too slow",3,"[""A big problem"", ""A small problem"", ""Not a problem""]","[0.5042, 0.4033, 0.0925]","[0.5381, 0.392, 0.07]","[0.478, 0.4169, 0.1051]",2537,976,1486,0.0476,
W34,MED3,"How much, if anything, have you heard or read about gene editing that can be used to change a baby’s genetic characteristics?",3,"[""A lot"", ""A little"", ""Nothing at all""]","[0.129, 0.5732, 0.2979]","[0.1097, 0.5754, 0.3149]","[0.1439, 0.5743, 0.2818]",2537,976,1486,0.0336,
W34,MED4A,Do you think each of the following is an appropriate use of medical technology...? Changing a baby's genetic characteristics to make the baby more intelligent,2,"[""An appropriate use of medical technology"", ""Taking medical technology too far""]","[0.1734, 0.8266]","[0.143, 0.857]","[0.1957, 0.8043]",2537,976,1486,0.0527,
W34,MED4B,Do you think each of the following is an appropriate use of medical technology...? Changing a baby's genetic characteristics to Treat a serious disease or condition the baby would have at birth,2,"[""An appropriate use of medical technology"", ""Taking medical technology too far""]","[0.7435, 0.2565]","[0.6805, 0.3195]","[0.7927, 0.2073]",2537,976,1486,0.1122,
W34,MED4C,Do you think each of the following is an appropriate use of medical technology...? Changing a baby's genetic characteristics to Reduce THE RISK of a serious disease or condition that could occur over ,2,"[""An appropriate use of medical technology"", ""Taking medical technology too far""]","[0.6158, 0.3842]","[0.5306, 0.4694]","[0.678, 0.322]",2537,976,1486,0.1475,
W34,MED5,"Thinking about what you have heard or read, how well do you think medical researchers understand the health risks and benefits of changing a baby’s genetic characteristics?",4,"[""Very well"", ""Fairly well"", ""Not too well"", ""Not at all well""]","[0.0659, 0.2867, 0.4716, 0.1757]","[0.0508, 0.2373, 0.5098, 0.2021]","[0.0755, 0.3229, 0.4507, 0.1509]",2537,976,1486,0.062,
W34,MED6A,"How likely...if gene editing to change a baby’s genetic characteristics becomes widely available? Even if gene editing is used appropriately in some cases, others will use these techniques in ways tha",4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.5656, 0.3237, 0.0885, 0.0222]","[0.5922, 0.3048, 0.0855, 0.0175]","[0.5487, 0.3376, 0.0907, 0.023]",2537,976,1486,0.0199,
W34,MED6B,How likely...if gene editing to change a baby’s genetic characteristics becomes widely available? These techniques will help people live longer and better quality lives,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.1625, 0.4946, 0.275, 0.0679]","[0.1163, 0.4881, 0.3219, 0.0737]","[0.195, 0.5082, 0.2378, 0.0591]",2537,976,1486,0.064,
W34,MED6C,How likely...if gene editing to change a baby’s genetic characteristics becomes widely available? We will use these techniques before we fully understand how they affect people’s health,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.4691, 0.3918, 0.1113, 0.0277]","[0.4758, 0.3916, 0.111, 0.0216]","[0.4652, 0.3922, 0.1136, 0.0291]",2537,976,1486,0.0094,
W34,MED6D,How likely...if gene editing to change a baby’s genetic characteristics becomes widely available? Inequality will increase because this option will be available only for the wealthy,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.6044, 0.2921, 0.0774, 0.0262]","[0.5226, 0.3272, 0.1142, 0.036]","[0.6581, 0.2708, 0.0521, 0.019]",2537,976,1486,0.0772,
W34,MED6E,How likely...if gene editing to change a baby’s genetic characteristics becomes widely available? Development of these techniques will pave the way for new medical advances that benefit society as a w,4,"[""Very likely"", ""Fairly likely"", ""Not too likely"", ""Not at all likely""]","[0.1927, 0.4558, 0.2711, 0.0804]","[0.1418, 0.4472, 0.3075, 0.1035]","[0.2278, 0.4678, 0.2441, 0.0603]",2537,976,1486,0.0786,
W34,MED7,"If gene editing to change a baby’s genetic characteristics required testing on human embryos in order to develop these techniques, do you think this would be…",2,"[""An appropriate use of medical technology"", ""Taking medical technology too far""]","[0.3459, 0.6541]","[0.2327, 0.7673]","[0.4273, 0.5727]",2537,976,1486,0.1946,
W34,BIOTECHA,Do you think genetic engineering of animals to increase their production of specific proteins that will lead to more nutritious meat would be…,2,"[""An appropriate use of technology"", ""Taking technology too far""]","[0.4308, 0.5692]","[0.416, 0.584]","[0.4462, 0.5538]",2537,976,1486,0.0302,
W34,BIOTECHB,Do you think bringing back an animal that is currently extinct by genetically engineering a closely-related species would be…,2,"[""An appropriate use of technology"", ""Taking technology too far""]","[0.3167, 0.6833]","[0.2845, 0.7155]","[0.3426, 0.6574]",2537,976,1486,0.0581,
W34,BIOTECHC,Do you think genetic engineering of mosquitoes that would prevent them from reproducing in order to prevent the spread of some mosquito-borne diseases would be…,2,"[""An appropriate use of technology"", ""Taking technology too far""]","[0.7375, 0.2625]","[0.7307, 0.2693]","[0.744, 0.256]",2537,976,1486,0.0134,
W34,BIOTECHD,Do you think genetic engineering of animals to grow organs or tissues that can be used for humans needing a transplant would be…,2,"[""An appropriate use of technology"", ""Taking technology too far""]","[0.5866, 0.4134]","[0.5855, 0.4145]","[0.5922, 0.4078]",2537,976,1486,0.0067,
W34,BIOTECHE,"Do you think genetic engineering of aquarium fish to change their appearance, causing them to glow would be…",2,"[""An appropriate use of technology"", ""Taking technology too far""]","[0.1973, 0.8027]","[0.1816, 0.8184]","[0.2084, 0.7916]",2537,976,1486,0.0268,
W34,NOBIOTECH_FILL,Fill text for Nobiotech (based on Biotech answer),5,"[""genetic engineering of animals to increase their production of specific proteins that will lead to more nutritious meat"", ""bringing back an animal that is currently extinct by genetically engineering a closely-related species"", ""genetic engineering of mosquitoes that would prevent them from reproducing in order to prevent the spread of some mosqui"", ""genetic engineering of animals to grow organs or tissues that can be used for humans needing a transplant"", ""genetic engineering of aquarium fish to change their appearance, causing them to glow""]","[0.2027, 0.2483, 0.0803, 0.1299, 0.3388]","[0.2169, 0.2466, 0.0833, 0.1084, 0.3447]","[0.1924, 0.2496, 0.0771, 0.1435, 0.3374]",2255,876,1310,0.0203,
W34,EVOONE,"Thinking about the development of human life on Earth…Which statement comes closer to your own views, even if neither is exactly right?",2,"[""Humans have evolved over time"", ""Humans have existed in their present form since the beginning of time""]","[0.7123, 0.2877]","[0.5905, 0.4095]","[0.7951, 0.2049]",1253,473,747,0.2046,
W34,EVOTHREE,"Which of these statements comes closer to your own views, even if neither is exactly right?",2,"[""Humans have evolved over time due to processes such as natural selection; God or a higher power had no role in this proc"", ""Humans have evolved over time due to processes that were guided or allowed by God or a higher power""]","[0.5734, 0.4266]","[0.4195, 0.5805]","[0.6501, 0.3499]",885,276,593,0.2306,
W34,EVOPERS3,Thinking about the development of human life on Earth…Which statement comes closest to your view?,3,"[""Humans have evolved over time due to processes such as natural selection; God or a higher power had no role in this proc"", ""Humans have evolved over time due to processes that were guided or allowed by God or a higher power"", ""Humans have existed in their present form since the beginning of time""]","[0.341, 0.4869, 0.1721]","[0.166, 0.578, 0.256]","[0.464, 0.4211, 0.115]",1284,503,739,0.2195,
W34,EVOBIOA,"From what you have heard or read, which of these statements about the development of human life on Earth comes closest to WHAT MOST Biological Scientists SAY?",3,"[""Humans have evolved over time due to processes such as natural selection"", ""Humans have existed in their present form since the beginning of time"", ""Not sure""]","[0.6984, 0.1463, 0.1554]","[0.6516, 0.1803, 0.168]","[0.7395, 0.1208, 0.1398]",2537,976,1486,0.0581,
W34,G1,"Do you, or does anyone in your immediate family, have a gene that predisposes you to a serious disease such as Alzheimer’s, cancer, heart disease or sickle cell anemia?",3,"[""Yes"", ""No"", ""Not sure""]","[0.2644, 0.3951, 0.3405]","[0.2549, 0.3983, 0.3467]","[0.2623, 0.3999, 0.3378]",2537,976,1486,0.0082,
W34,G2,"Have you, or has anyone in your immediate family, ever had a genetic test, or haven’t you done this?",3,"[""Yes"", ""No"", ""Not sure""]","[0.1603, 0.6639, 0.1758]","[0.1412, 0.6897, 0.1691]","[0.1734, 0.6511, 0.1754]",2537,976,1486,0.0193,
W34,KNOSCT22_W17W34,"Which is the better way to determine whether a new drug is effective in treating a disease? If a scientist has a group of 1,000 volunteers with the disease to study, should she…",3,"[""Give the drug to all of them and see how many get better"", ""Give the drug to half of them but not to the other half, and compare how many in each group get better"", ""Not sure""]","[0.1409, 0.6937, 0.1654]","[0.1549, 0.6923, 0.1528]","[0.1292, 0.705, 0.1658]",2537,976,1486,0.0193,
W34,KNOSCT23_W17W34,Which gas is made as a consequence of burning fossil fuels? Is it...,5,"[""Carbon dioxide"", ""Hydrogen"", ""Helium"", ""Radon"", ""Not sure""]","[0.7456, 0.034, 0.0083, 0.0237, 0.1883]","[0.7731, 0.0298, 0.0062, 0.0257, 0.1653]","[0.7377, 0.0379, 0.0101, 0.023, 0.1913]",2537,976,1486,0.0281,
W34,KNOSCT29_W17W34,"If a scientist wants to determine if a new drug is effective at treating high blood pressure by giving half of a group of 1,000 volunteers a new medication and the other half a",4,"[""A placebo effect"", ""A third person effect"", ""A false consensus effect"", ""Not sure""]","[0.6246, 0.0297, 0.1691, 0.1766]","[0.6286, 0.0298, 0.1862, 0.1553]","[0.6318, 0.0284, 0.1568, 0.1831]",2537,976,1486,0.0109,
W34,KNOSCT31_W17W34,Which of these terms refers to health benefits occurring when most people in a population get a vaccine?,4,"[""Herd immunity"", ""Population control"", ""Vaccination effect"", ""Not sure""]","[0.3684, 0.0592, 0.3573, 0.2152]","[0.3275, 0.0597, 0.4109, 0.2019]","[0.4007, 0.0597, 0.3214, 0.2183]",2537,976,1486,0.0542,
W34,KNOSCT33_W17W34,Humans and mice share the same genetic make-up by...,4,"[""Less than 10%"", ""Between 11% and 49%"", ""About 50% or more"", ""Not sure""]","[0.0753, 0.1396, 0.3549, 0.4302]","[0.0885, 0.1368, 0.3261, 0.4486]","[0.0664, 0.1435, 0.3805, 0.4096]",2537,976,1486,0.0255,
W34,KNOSCT34_W17W34,Which gas makes up most of the Earths atmosphere?,5,"[""Hydrogen"", ""Nitrogen"", ""Carbon dioxide"", ""Oxygen"", ""Not sure""]","[0.0965, 0.3286, 0.0822, 0.346, 0.1466]","[0.0906, 0.3337, 0.0803, 0.3532, 0.1421]","[0.0999, 0.3315, 0.0863, 0.3404, 0.142]",2537,976,1486,0.0074,
W34,PRAY_FINAL,"PRAY: Other than during religious services, how often do you pray NOTE: responses combined from multiple surveys prior to W34; used to create F_RELCOM3CAT_FINAL",7,"[""Several times a day"", ""Once a day"", ""A few times a week"", ""Once a week"", ""A few times a month"", ""Seldom"", ""Never""]","[0.306, 0.1409, 0.1361, 0.0243, 0.0659, 0.1656, 0.1612]","[0.3706, 0.1718, 0.1548, 0.026, 0.0644, 0.1333, 0.0791]","[0.2597, 0.1218, 0.1269, 0.0213, 0.0675, 0.1871, 0.2157]",2318,887,1368,0.1635,
W34,RELIMP_FINAL,How important is religion in your life? NOTE: responses combined from multiple surveys prior to W34; used to create F_RELCOM3CAT_FINAL,4,"[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important""]","[0.3748, 0.2532, 0.1716, 0.2005]","[0.4645, 0.2867, 0.1408, 0.1079]","[0.3095, 0.2338, 0.1926, 0.2642]",2533,976,1484,0.1731,
W36,HAPPYLIFE,"Generally, how would you say things are these days in your life? Would you say that you are…",3,"[""Very happy"", ""Pretty happy"", ""Not too happy""]","[0.2483, 0.6135, 0.1382]","[0.3054, 0.6047, 0.0899]","[0.2061, 0.6226, 0.1713]",4587,1940,2538,0.0903,
W36,ESSENPOLF1A,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Be honest and ethical",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.942, 0.0506, 0.0074]","[0.9304, 0.0642, 0.0054]","[0.9515, 0.0393, 0.0092]",2301,936,1306,0.0125,
W36,ESSENPOLF1B,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Be compassionate and empathetic",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6815, 0.2931, 0.0254]","[0.4831, 0.4809, 0.036]","[0.8234, 0.1594, 0.0172]",1105,447,641,0.1795,
W36,ESSENPOLF1C,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Be able to work out compromises",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.8324, 0.1542, 0.0134]","[0.7689, 0.2188, 0.0123]","[0.8837, 0.1088, 0.0076]",1196,489,665,0.0597,
W36,ESSENPOLF1D,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Work well under pressure",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.8488, 0.1412, 0.01]","[0.8871, 0.1061, 0.0068]","[0.826, 0.1614, 0.0125]",1105,447,641,0.0334,
W36,ESSENPOLF1E,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Be willing to take risks",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.4267, 0.5381, 0.0352]","[0.454, 0.5153, 0.0307]","[0.4042, 0.5596, 0.0362]",1196,489,665,0.0276,
W36,ESSENPOLF1F,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Stand up for what they believe in, despite political pressure",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.7477, 0.2326, 0.0196]","[0.8041, 0.1842, 0.0118]","[0.7088, 0.2673, 0.0239]",2301,936,1306,0.0537,
W36,ESSENPOLF1G,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Be persuasive",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.462, 0.5087, 0.0293]","[0.4597, 0.522, 0.0183]","[0.4646, 0.5008, 0.0346]",2301,936,1306,0.0106,
W36,ESSENPOLF1H,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Maintain a tone of civility and respect in politics",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.7384, 0.2389, 0.0227]","[0.5933, 0.382, 0.0247]","[0.8404, 0.1377, 0.0219]",1105,447,641,0.125,
W36,ESSENPOLF1I,"In general, how important, if at all, is it to you for someone in HIGH Political Office to do each of the following? Serve as a role model for children",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6332, 0.3283, 0.0385]","[0.5471, 0.4037, 0.0492]","[0.6973, 0.2816, 0.0211]",1196,489,665,0.0891,
W36,ESSENBIZF2A,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Be honest and ethical",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.9307, 0.0631, 0.0061]","[0.9382, 0.0578, 0.004]","[0.9267, 0.0651, 0.0081]",2286,1004,1232,0.0078,
W36,ESSENBIZF2B,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Be compassionate and empathetic",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.5761, 0.3929, 0.031]","[0.4592, 0.4918, 0.049]","[0.6645, 0.3191, 0.0164]",1133,490,610,0.1189,
W36,ESSENBIZF2C,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Be able to work out compromises",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.7779, 0.2143, 0.0078]","[0.7466, 0.2437, 0.0097]","[0.8026, 0.1926, 0.0049]",1153,514,622,0.0304,
W36,ESSENBIZF2D,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Work well under pressure",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.7763, 0.2131, 0.0106]","[0.7996, 0.1943, 0.0061]","[0.7619, 0.225, 0.0131]",1133,490,610,0.0223,
W36,ESSENBIZF2E,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Be willing to take risks",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.4106, 0.5547, 0.0347]","[0.4377, 0.5253, 0.037]","[0.3865, 0.5813, 0.0322]",1153,514,622,0.028,
W36,ESSENBIZF2F,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Value people from different backgrounds",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.69, 0.2784, 0.0316]","[0.5254, 0.4217, 0.0528]","[0.8233, 0.1637, 0.013]",2286,1004,1232,0.1688,
W36,ESSENBIZF2G,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Provide fair pay and good benefits",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.8313, 0.1546, 0.0141]","[0.7449, 0.2327, 0.0224]","[0.8984, 0.0951, 0.0066]",1133,490,610,0.0847,
W36,ESSENBIZF2H,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Negotiate profitable deals",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6348, 0.3478, 0.0174]","[0.7212, 0.269, 0.0097]","[0.5694, 0.4081, 0.0226]",1153,514,622,0.0824,
W36,ESSENBIZF2I,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Consider the impact of business decisions on society",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6519, 0.326, 0.0221]","[0.5072, 0.4581, 0.0348]","[0.7694, 0.2175, 0.0132]",1133,490,610,0.1419,
W36,ESSENBIZF2J,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Provide guidance or mentorship to young employees",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6292, 0.3473, 0.0235]","[0.607, 0.3755, 0.0175]","[0.6472, 0.3252, 0.0275]",1153,514,622,0.0251,
W36,ESSENBIZF2K,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Create a safe and respectful workplace",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.9049, 0.0872, 0.0079]","[0.8644, 0.1276, 0.008]","[0.9383, 0.0536, 0.0081]",2286,1004,1232,0.037,
W36,ESSENBIZF2L,"In general, how important, if at all, is it to you for someone in a TOP Executive Business Position to do each of the following? Stand up for what they believe in, despite pressure to make a profit",3,"[""Essential"", ""Important, but not essential"", ""Not important""]","[0.6877, 0.2921, 0.0202]","[0.6244, 0.3407, 0.035]","[0.7368, 0.2559, 0.0073]",2286,1004,1232,0.07,
W36,STYLE1,"Next, please think about the Leadership Styles of people in top positions in Business AND Politics. In general, when it comes to their approach to leadership, do you think that…",2,"[""Men and women are basically SIMILAR"", ""Men and women are basically DIFFERENT""]","[0.4066, 0.5934]","[0.3683, 0.6317]","[0.433, 0.567]",4587,1940,2538,0.0647,
W36,STYLE2,"Thinking about the ways in which men and women in top positions in business and politics are different in their approach to leadership, would you say…",3,"[""Women generally have a better approach"", ""Men generally have a better approach"", ""Neither is better""]","[0.2467, 0.1129, 0.6404]","[0.0915, 0.1946, 0.7139]","[0.3825, 0.0421, 0.5754]",2700,1216,1430,0.2147,
W36,AMNTWMNPF1,"Thinking about the country today, would you say there are…",3,"[""Too many women in high political offices"", ""Too few women in high political offices"", ""About the right number of women in high political offices""]","[0.0446, 0.6642, 0.2913]","[0.0836, 0.3529, 0.5635]","[0.0155, 0.8878, 0.0967]",2301,936,1306,0.2674,
